condition,timepoint,c-Citrineperod,c-Citrineperodvar
"2% Glu,0 IPTG",0,1483.756514,19731.00752
"2% Glu,0 IPTG",10.65916667,1171.851569,8134.221662
"2% Glu,0 IPTG",21.31,1161.680832,7325.11594
"2% Glu,0 IPTG",31.95916667,1085.954605,14202.36055
"2% Glu,0 IPTG",42.60916667,1104.465098,13506.25878
"2% Glu,0 IPTG",53.26,1054.307778,15860.45537
"2% Glu,0 IPTG",63.90916667,1135.463155,9004.447546
"2% Glu,0 IPTG",74.56,1152.913001,6633.104401
"2% Glu,0 IPTG",85.21,1200.798685,9790.661422
"2% Glu,0 IPTG",95.86,1268.615566,5356.429184
"2% Glu,0 IPTG",106.5108333,1214.775422,5504.745657
"2% Glu,0 IPTG",117.1608333,1242.843502,6026.070509
"2% Glu,0 IPTG",127.8116667,1191.014003,6010.748044
"2% Glu,0 IPTG",138.4608333,1207.331195,3053.52235
"2% Glu,0 IPTG",149.1108333,1230.463959,3279.371237
"2% Glu,0 IPTG",159.7616667,1215.906966,4758.34873
"2% Glu,0 IPTG",170.4116667,1234.64932,4115.900664
"2% Glu,0 IPTG",181.0625,1229.542429,2712.793734
"2% Glu,0 IPTG",191.7125,1255.350104,2220.040347
"2% Glu,0 IPTG",202.3625,1273.27215,2480.08245
"2% Glu,0 IPTG",213.0125,1280.46085,3012.696702
"2% Glu,0 IPTG",223.6633333,1298.919576,4716.41059
"2% Glu,0 IPTG",234.3133333,1344.432608,5173.762228
"2% Glu,0 IPTG",244.9633333,1368.284557,4872.282623
"2% Glu,0 IPTG",255.6133333,1417.238139,4148.09079
"2% Glu,0 IPTG",266.2633333,1423.491162,5174.317471
"2% Glu,0 IPTG",276.9141667,1426.217603,6078.110618
"2% Glu,0 IPTG",287.5641667,1433.998728,7518.982733
"2% Glu,0 IPTG",298.2141667,1484.146337,8561.825514
"2% Glu,0 IPTG",308.8641667,1482.473482,7346.430968
"2% Glu,0 IPTG",319.515,1478.649773,6690.807802
"2% Glu,0 IPTG",330.165,1474.228569,8010.955761
"2% Glu,0 IPTG",340.815,1476.333643,10091.95914
"2% Glu,0 IPTG",351.4658333,1446.320518,11689.9851
"2% Glu,0 IPTG",362.115,1459.111538,11855.60544
"2% Glu,0 IPTG",372.7658333,1467.149683,12824.32652
"2% Glu,0 IPTG",383.4158333,1475.915961,11536.51721
"2% Glu,0 IPTG",394.0658333,1496.367183,12612.56363
"2% Glu,0 IPTG",404.7166667,1500.702897,10449.91729
"2% Glu,0 IPTG",415.3658333,1554.504342,9878.822975
"2% Glu,0 IPTG",426.0166667,1582.990662,12648.07701
"2% Glu,0 IPTG",436.6666667,1607.843121,10549.80068
"2% Glu,0 IPTG",447.3183333,1644.992885,11071.27342
"2% Glu,0 IPTG",457.9675,1639.042135,9693.570796
"2% Glu,0 IPTG",468.6175,1637.279908,9267.884106
"2% Glu,0 IPTG",479.2675,1634.399353,11022.3435
"2% Glu,0 IPTG",489.9175,1642.547616,10940.7964
"2% Glu,0 IPTG",500.5683333,1639.575715,10161.97773
"2% Glu,0 IPTG",511.2183333,1628.597852,9801.784546
"2% Glu,0 IPTG",521.8691667,1613.944674,10428.08212
"2% Glu,0 IPTG",532.5191667,1595.164611,10398.34223
"2% Glu,0 IPTG",543.1691667,1549.4837,11829.53975
"2% Glu,0 IPTG",553.8191667,1530.356223,11108.42099
"2% Glu,0 IPTG",564.4691667,1516.12825,11835.10374
"2% Glu,0 IPTG",575.12,1501.971288,11396.88147
"2% Glu,0 IPTG",585.77,1479.296797,10265.4956
"2% Glu,0 IPTG",596.4208333,1463.437496,10638.57103
"2% Glu,0 IPTG",607.07,1456.70452,9544.723695
"2% Glu,0 IPTG",617.72,1451.734125,9968.558731
"2% Glu,0 IPTG",628.3708333,1439.392258,9125.094025
"2% Glu,0 IPTG",639.0208333,1417.736161,8095.153166
"2% Glu,0 IPTG",649.6716667,1407.951354,7855.126672
"2% Glu,0 IPTG",660.3208333,1424.551915,8984.234098
"2% Glu,0 IPTG",670.9708333,1403.014055,8630.959325
"2% Glu,0 IPTG",681.6216667,1390.336248,5822.499519
"2% Glu,0 IPTG",692.2833333,1374.715941,7740.950178
"2% Glu,0 IPTG",702.9225,1375.449914,6853.245056
"2% Glu,0 IPTG",713.5725,1366.289757,6853.444067
"2% Glu,0 IPTG",724.2225,1345.353759,6171.300853
"2% Glu,0 IPTG",734.8725,1361.85526,8564.687053
"2% Glu,0 IPTG",745.5225,1363.291001,5795.824116
"2% Glu,0 IPTG",756.1741667,1343.572205,5955.930541
"2% Glu,0 IPTG",766.8233333,1354.313214,4819.316046
"2% Glu,0 IPTG",777.4741667,1342.250528,5334.039323
"2% Glu,0 IPTG",788.1233333,1345.368987,4910.171926
"2% Glu,0 IPTG",798.7741667,1358.098453,5915.279487
"2% Glu,0 IPTG",809.425,1350.977259,5025.935486
"2% Glu,0 IPTG",820.0758333,1344.293725,4587.447338
"2% Glu,0 IPTG",830.725,1347.121581,3770.758705
"2% Glu,0 IPTG",841.375,1352.255595,5033.625143
"2% Glu,0 IPTG",852.0258333,1333.23161,4828.584864
"2% Glu,0 IPTG",862.675,1361.346858,2729.484412
"2% Glu,0 IPTG",873.3266667,1375.633104,4318.030546
"2% Glu,0 IPTG",883.9758333,1373.504563,3954.01809
"2% Glu,0 IPTG",894.6266667,1393.058794,2955.830058
"2% Glu,0 IPTG",905.2758333,1396.308821,3276.737486
"2% Glu,0 IPTG",915.9266667,1359.827932,3013.173314
"2% Glu,0 IPTG",926.5766667,1362.863709,3622.56744
"2% Glu,0 IPTG",937.2283333,1368.588259,3776.111422
"2% Glu,0 IPTG",947.8783333,1368.5426,3275.885433
"2% Glu,0 IPTG",958.5275,1357.788225,3998.500103
"2% Glu,0 IPTG",969.1783333,1364.797943,2736.771185
"2% Glu,0 IPTG",979.8283333,1363.008478,3131.893369
"2% Glu,0 IPTG",990.4791667,1359.279738,2561.569311
"2% Glu,0 IPTG",1001.128333,1364.767458,3254.303333
"2% Glu,0 IPTG",1011.778333,1369.711723,2449.540729
"2% Glu,0 IPTG",1022.428333,1349.516214,2963.918754
"2% Glu,0 IPTG",1033.079167,1352.989681,2793.109561
"2% Glu,0 IPTG",1043.73,1352.72344,2772.416267
"2% Glu,0 IPTG",1054.378333,1355.647931,3413.558944
"2% Glu,0 IPTG",1065.029167,1375.332704,3881.433101
"2% Glu,0 IPTG",1075.68,1354.330698,3223.367948
"2% Glu,0 IPTG",1086.33,1365.203319,4064.448971
"2% Glu,0 IPTG",1096.980833,1355.173023,2087.720948
"2% Glu,0 IPTG",1107.63,1354.790075,3386.450339
"2% Glu,0 IPTG",1118.280833,1357.434094,3372.331038
"2% Glu,0 IPTG",1128.93,1362.643774,3829.632833
"2% Glu,0 IPTG",1139.580833,1352.049628,3696.869035
"2% Glu,0 IPTG",1150.231667,1361.972102,3909.313289
"2% Glu,0 IPTG",1160.88,1353.190652,3966.585069
"2% Glu,0 IPTG",1171.530833,1345.552388,4211.923106
"2% Glu,0 IPTG",1182.180833,1354.07085,4759.681041
"2% Glu,0 IPTG",1192.8325,1355.536683,4357.871861
